ASV	Domain	Phylum	Class	Order	Family	Genus	Species	
d51b73a54b6087cfb35b2ca98cbab602	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Alteromonadales	 f__Alteromonadaceae	 g__Paraglaciecola	
505bb0b7eef16a2694d5ef58d94f1efa	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__uncultured	 g__uncultured	
38d7cc08941f43d1928e48a61b67b93a	d__Bacteria	 p__Myxococcota	 c__Polyangia	 o__Blfdi19	 f__Blfdi19	 g__Blfdi19	 s__uncultured_delta
b49a9f149327c7493a254280baeddbbc	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Cytophagales	 f__Cyclobacteriaceae	 g__Marinoscillum	 s__uncultured_organism
1998d6127c8f64b0c43aa5431d432f8d	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Caulobacterales	 f__Parvularculaceae	 g__Marinicaulis	 s__uncultured_bacterium
5291c46fede2de906cb6b0107e89cf82	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Comamonadaceae		
f25e48ded81393aa216fc9f7c2a94d13	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Flavobacteriaceae	 g__Winogradskyella	
dd30c511b401dd4b8e5894d20277288b	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Alteromonadales	 f__Colwelliaceae	 g__Thalassotalea	
d426e5ed17af4f590729b9577f8471b4	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Saprospiraceae	 g__uncultured	 s__uncultured_marine
aad309408a3180335080a911f55fd854	d__Bacteria	 p__Cyanobacteria	 c__Cyanobacteriia	 o__Phormidesmiales	 f__Phormidesmiaceae	 g__Phormidesmis_ANT.LACV5.1	 s__uncultured_bacterium
245236717d57f17c3134762cbf42255e	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Vibrionales	 f__Vibrionaceae	 g__Vibrio	
179766910eb751c48419ddf1a87764fd	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Sphingomonadales	 f__Sphingomonadaceae	 g__Sphingorhabdus	
d693015c7914e2b7d4481f6cf4e66dfd	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidetes_VC2.1_Bac22	 f__Bacteroidetes_VC2.1_Bac22	 g__Bacteroidetes_VC2.1_Bac22	 s__uncultured_Bacteroidetes
2b89f6702d8facb309e412a2191ee237	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Beijerinckiaceae	 g__1174-901-12	
d9675a4eab6c4abe085f93fc966201ed	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Cytophagales			
dbab526c76b293d3ca484e157dde9b9e	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__KI89A_clade	 f__KI89A_clade	 g__KI89A_clade	
485b2626f5201bb8720d69353f804220	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Saprospiraceae	 g__Portibacter	 s__uncultured_deep-sea
598203171571a5b8a0c0b80c8243d16a	d__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Opitutales	 f__Opitutaceae	 g__Cephaloticoccus	
3b3a94b60be48f87d0393dbb3081cfab	d__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Verrucomicrobiales	 f__Rubritaleaceae	 g__Roseibacillus	
4d218db40425864c2b411f6050107011	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Cryomorphaceae	 g__uncultured	 s__uncultured_Flavobacteriia
8ef618832e2fafc9f19f2bcb730b7507	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Cryomorphaceae	 g__uncultured	 s__uncultured_Bacteroidetes/Chlorobi
00858b3a7f0b3e65b04581208b6933c1	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Flavobacteriaceae		
0b38072d1be209356ed9f13b10729ea6	d__Bacteria	 p__Planctomycetota	 c__Phycisphaerae	 o__Phycisphaerales	 f__Phycisphaeraceae	 g__Algisphaera	 s__uncultured_bacterium
e2b13ebac819c897bbc83c87218a248d	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Pseudomonadales	 f__Pseudomonadaceae	 g__Pseudomonas	
126bb009610f75536a6242112ab11d1d	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Flavobacteriaceae	 g__Aquibacter	 s__uncultured_Bacteroidetes
0ac7b634fa645fb9d0bd2fde7993b4c3	d__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Verrucomicrobiales	 f__DEV007	 g__DEV007	
007407d9b58a0377d41e5bc9af743cbe	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Thiotrichales	 f__Thiotrichaceae	 g__Cocleimonas	 s__uncultured_gamma
2074cad35e9f7c12d432d425ce1d1250	d__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Opitutales	 f__Puniceicoccaceae	 g__Lentimonas	
86da52c0ff50f1f04b5f04ac8cabf492	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Xanthomonadales	 f__Rhodanobacteraceae	 g__Dokdonella	 s__uncultured_gamma
90ecc107b5397060f56c7f200c81b5d6	d__Bacteria	 p__Planctomycetota	 c__Phycisphaerae	 o__Phycisphaerales	 f__Phycisphaeraceae	 g__Algisphaera	
f5baa65baeb34574d51a60c75726dcb1	d__Bacteria	 p__Latescibacterota	 c__Latescibacteria	 o__Latescibacterales	 f__Latescibacteraceae	 g__Latescibacteraceae	 s__uncultured_actinobacterium
650010e30c0b6ce4a9751b55d6fbf6d1	d__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Opitutales	 f__Puniceicoccaceae	 g__Pelagicoccus	
de8e4d61ac808e4a8b252ca28ee15bcc	d__Bacteria	 p__Patescibacteria	 c__Gracilibacteria	 o__Gracilibacteria	 f__Gracilibacteria	 g__Gracilibacteria	 s__uncultured_Flavobacterium
b4cc82928f6efcd580edf4dbddb69e5c	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria				
7c08dfa926e9c05501edffcdf776ea26	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Sphingomonadales	 f__Sphingomonadaceae	 g__Erythrobacter	
8707dd88b3243c6ccd15304066e96648	d__Bacteria	 p__Patescibacteria	 c__Gracilibacteria	 o__Candidatus_Peribacteria	 f__Candidatus_Peribacteria	 g__Candidatus_Peribacteria	 s__uncultured_bacterium
47dcf6feb211f8d28692d13daff48318	d__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Verrucomicrobiales	 f__Rubritaleaceae	 g__Persicirhabdus	 s__uncultured_bacterium
8baa6d375c6ef8e24b00fa229e994677	d__Bacteria	 p__Cyanobacteria	 c__Cyanobacteriia	 o__Phormidesmiales	 f__Phormidesmiaceae	 g__Phormidesmis_ANT.LACV5.1	
eb488d27b232d00e74de052ff212e533	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Flavobacteriaceae	 g__Flavobacterium	
be4c66c6ad275258138364a61a4331c9	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Micavibrionales	 f__Micavibrionaceae	 g__uncultured	 s__uncultured_organism
c484502bdabe3746a7891653b206cf12	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales	 f__Marinilabiliaceae	 g__uncultured	
3c79bb20d7eae70c11010f58070c29c5	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria				
3dcdb143a8663e5dbb39e24a4afbc32a	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Micavibrionales	 f__uncultured	 g__uncultured	
034c4a334b165223475200adb54010be	d__Archaea	 p__Asgardarchaeota	 c__Lokiarchaeia	 o__Lokiarchaeia	 f__Lokiarchaeia	 g__Lokiarchaeia	 s__uncultured_marine
c6db021ba844172ed05204a962663e8a	d__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Verrucomicrobiales	 f__Rubritaleaceae	 g__Rubritalea	 s__uncultured_bacterium
71bc28765dafcb56147c30568a4d28ce	d__Bacteria	 p__Myxococcota	 c__Polyangia	 o__Nannocystales	 f__Nannocystaceae	 g__uncultured	 s__uncultured_proteobacterium
b67816a5312e5297636e3da1947eef7d	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Defluviicoccales	 f__uncultured	 g__uncultured	 s__uncultured_organism
f223575ee074c1c6d8a35c8b84cade57	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhodobacterales	 f__Rhodobacteraceae		
66bda15de45308b7e9c556c18206b919	d__Bacteria	 p__Fibrobacterota	 c__Chitinivibrionia	 o__Chitinivibrionales	 f__Chitinivibrionaceae	 g__possible_genus_03	 s__uncultured_bacterium
891cb25c1b057575e052d50d4239ec08	d__Bacteria	 p__Verrucomicrobiota	 c__Chlamydiae	 o__Chlamydiales	 f__Simkaniaceae	 g__Candidatus_Fritschea	 s__Candidatus_Syngnamydia
3533470df3e8adfa09cf87bc9348111c	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Saprospiraceae	 g__uncultured	 s__uncultured_bacterium
091ba4feb6025be7a1c6c7e2332e3bf7	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Rhizobiaceae		
e7c3fdec5a02b452a5df62580b7e8502	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Cryomorphaceae	 g__NS10_marine_group	 s__uncultured_Bacteroidetes
4f8ff883315787c4d96248501ce33a9f	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Sphingobacteriales	 f__Lentimicrobiaceae	 g__Lentimicrobiaceae	
d49b0c2079979b1dcf8878f1f35e916e	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Thiotrichales	 f__Thiotrichaceae	 g__uncultured	 s__uncultured_sediment
febe30e2397d20ca1e98dba8429c1103	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Rhizobiaceae	 g__Pseudahrensia	 s__Ahrensia_sp.
b5638bdce563300c4618a641175ec9b0	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Pirellulales	 f__Pirellulaceae	 g__Pirellula	
1603d1f83dc69c0ba8c51fe66d02311d	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Pirellulales	 f__Pirellulaceae	 g__Rhodopirellula	
a162cb99e80d38afd4beb023ee7c46d5	d__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Chthoniobacterales	 f__Chthoniobacteraceae	 g__Chthoniobacteraceae	 s__uncultured_bacterium
6f7bfc4599a579e6272428aa6dcf7553	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__SM2D12	 g__SM2D12	 s__uncultured_bacterium
0d52fb6812e7a88dfc09f9870b806d09	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__uncultured	 g__uncultured	 s__uncultured_bacterium
f4bb6118b4c9c782f1c67a465efb15ee	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales	 f__Bacteroidetes_BD2-2	 g__Bacteroidetes_BD2-2	 s__uncultured_Bacteroidetes/Chlorobi
a7d235cf48e1a9db57bd597913ecc33f	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Rhodomicrobiaceae	 g__Rhodomicrobium	
97c046957c00bdd7f404874bcc39d5bd	d__Bacteria	 p__Verrucomicrobiota	 c__Lentisphaeria	 o__P.palmC41	 f__P.palmC41	 g__P.palmC41	 s__uncultured_Verrucomicrobia
44b7063ddbb1fc0f2cb27dcbec730c76	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Cryomorphaceae	 g__Cryomorpha	 s__uncultured_bacterium
d9412d1f3e45d9f3c7211c0267604a72	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhodobacterales	 f__Rhodobacteraceae		
e0baeabfc3108c25edb9ddfdd21f1a92	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Crocinitomicaceae	 g__Crocinitomix	 s__uncultured_bacterium
010ef109fec3d87d38c5d7fe9bd7fc48	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Saprospiraceae	 g__Lewinella	
371255f57fbcc23cff9cbaf93b761b3b	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__uncultured	 f__uncultured	 g__uncultured	
37aab46cdfefd72b182dbfface942ee2	d__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Pedosphaerales	 f__Pedosphaeraceae	 g__DEV008	 s__uncultured_bacterium
57319010316f0cd3ca1624714a658329	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Sphingomonadales	 f__Sphingomonadaceae	 g__Sphingorhabdus	 s__Sphingorhabdus_sp.
eb7791179208ea678c2098e58fb01056	d__Bacteria	 p__Verrucomicrobiota	 c__Omnitrophia	 o__Omnitrophales	 f__Omnitrophaceae	 g__Candidatus_Omnitrophus	 s__Omnitrophica_bacterium
16bd6a88fb142328810e6b916ccba0d9	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Pirellulales	 f__Pirellulaceae	 g__Blastopirellula	
7c164ce8bf725276a3588f9a70f4bd58	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhodobacterales	 f__Rhodobacteraceae		
ce8931bb624b5256437732a37aa64bbe	d__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Opitutales	 f__Puniceicoccaceae	 g__Verruc-01	
41cd9c427dfa160611a1e8d875257f03	d__Bacteria	 p__Nitrospirota	 c__Nitrospiria	 o__Nitrospirales	 f__Nitrospiraceae	 g__Nitrospira	
f03250ee78d4c42a5c1167039103ce8f	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Saprospiraceae		
54eb21561a7c00e02deabe8bb03cd94a	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Flavobacteriaceae	 g__Maribacter	
9ea7582190db95704417935e3cf14d23	d__Bacteria	 p__SAR324_clade(Marine_group_B)	 c__SAR324_clade(Marine_group_B)	 o__SAR324_clade(Marine_group_B)	 f__SAR324_clade(Marine_group_B)	 g__SAR324_clade(Marine_group_B)	 s__uncultured_organism
cc5bb3b1837479adda4b077eaf387c7c	d__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Verrucomicrobiales	 f__DEV007	 g__DEV007	 s__uncultured_bacterium
3763d7a12cc22debf6f65b04acf71be1	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Granulosicoccales	 f__Granulosicoccaceae	 g__Granulosicoccus	 s__uncultured_gamma
f652157162a24e3c6cc675a99cee76ae	d__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Verrucomicrobiales	 f__Rubritaleaceae	 g__Roseibacillus	 s__uncultured_Verrucomicrobia
3200a5aa3bd6c8a115a755a258f3f80d	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Alteromonadales	 f__Colwelliaceae		
6b9d7efe4ddb7e520a30bc31e4a10535	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Cytophagales	 f__Amoebophilaceae	 g__uncultured	 s__uncultured_organism
4c071ca7507fe0cdb83475c9b89229f1	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales	 f__Marinifilaceae	 g__uncultured	 s__uncultured_bacterium
f187d49b2e661262ccf5644a13a488a4	d__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Bacillales	 f__Sporolactobacillaceae	 g__uncultured	 s__unidentified
11b75971d9b41ec7f33ca0231c982cc5	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhodobacterales	 f__Rhodobacteraceae		
85ad66f8536d1c2b56a19ad0b86b5179	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Saprospiraceae		
27b31900d048d551cd9f00923b2aa527	d__Bacteria	 p__Planctomycetota	 c__Pla4_lineage	 o__Pla4_lineage	 f__Pla4_lineage	 g__Pla4_lineage	 s__uncultured_Planctomycetales
c2e43c67d6a79559e35bb61c2db52b06	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales	 f__Marinilabiliaceae	 g__uncultured	 s__uncultured_Bacteroidetes
a4ad2d4cb5d6597e46d00d2dca4ab59a	d__Bacteria	 p__Fusobacteriota	 c__Fusobacteriia	 o__Fusobacteriales	 f__Fusobacteriaceae	 g__Fusobacterium	 s__Fusobacterium_sp.
a5f7d045e8583249e3e88b44728fdb04	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Chitinophagaceae	 g__Flavisolibacter	
5a6bb894e5de96b5e013276c597bcbd1	d__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Verrucomicrobiales	 f__Rubritaleaceae	 g__Haloferula	 s__Haloferula_helveola
c62aede2dadb8828c8f4d3a1af54b702	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Pseudomonadales	 f__Moraxellaceae	 g__Psychrobacter	
de56b3d070a67ad4e50d6e48eeed2a9d	d__Bacteria	 p__Firmicutes	 c__Negativicutes	 o__Veillonellales-Selenomonadales	 f__Veillonellaceae	 g__Veillonella	
56779fc69a95306346fa0e906590c72c	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhodobacterales	 f__Rhodobacteraceae	 g__uncultured	 s__alpha_proteobacterium
9b0ad56fd5a6537649f70d2749238a2c	d__Bacteria	 p__Planctomycetota	 c__OM190	 o__OM190	 f__OM190	 g__OM190	
37a7d1ea52c1e3873cae808cf2aaea9f	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Planctomycetales	 f__Rubinisphaeraceae	 g__Planctomicrobium	 s__uncultured_bacterium
fdfd06cbbc24e3b25e01958fbf20fb4b	d__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Verrucomicrobiales	 f__Rubritaleaceae	 g__Persicirhabdus	
085408ef42bc09c28e27529f84983603	d__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Opitutales	 f__Puniceicoccaceae	 g__Lentimonas	
cee2efa0c20cc9029bb0812fa076ccfc	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Francisellales	 f__Francisellaceae	 g__[Caedibacter]_taeniospiralis_group	 s__Cysteiniphilum_litorale
4b837b23b31ddc3cbff430bd0ae5ab71	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__SM2D12	 g__SM2D12	 s__uncultured_Hyphomicrobiaceae
21c72cc8bfc356d889f776045f70dc7e	d__Bacteria	 p__Acidobacteriota	 c__Thermoanaerobaculia	 o__Thermoanaerobaculales	 f__Thermoanaerobaculaceae	 g__Subgroup_23	
2b93980b9e3b3a1d15df34919f58dc07	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Pirellulales	 f__Pirellulaceae	 g__Rubripirellula	
125661502bdc532fb721a6969cd082d6	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Thiohalorhabdales	 f__Thiohalorhabdaceae	 g__uncultured	 s__uncultured_bacterium
eb0cabcace890f2518c28f87184eb8d0	d__Bacteria	 p__Planctomycetota	 c__OM190	 o__OM190	 f__OM190	 g__OM190	 s__uncultured_marine
76e3c59c8fe940c66be25e07eb68a658	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Cellvibrionales	 f__Halieaceae	 g__Halioglobus	 s__Saccharina_japonica
d68ab320ae0bbb4b534f9171eb4c9d4e	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria				
10103599fbef1b84718ac883c96e1cc6	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Caulobacterales	 f__Hyphomonadaceae	 g__Hirschia	
cc5177bc94b4b34f5db196ce390fb6bb	d__Bacteria	 p__Bdellovibrionota	 c__Bdellovibrionia	 o__Bdellovibrionales	 f__Bdellovibrionaceae	 g__Bdellovibrio	 s__uncultured_bacterium
9a324c699b2cb4f857f649bb3c72958d	d__Bacteria	 p__Proteobacteria					
875e6c91573c7372587968a487756360	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Flavobacteriaceae	 g__Flavicella	 s__uncultured_bacterium
a03131390369368f8a589c3264992a13	d__Bacteria	 p__NB1-j	 c__NB1-j	 o__NB1-j	 f__NB1-j	 g__NB1-j	 s__uncultured_organism
482b88de8eadda4a0ab38d3d5d907ab6	d__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Verrucomicrobiales	 f__Rubritaleaceae	 g__Roseibacillus	 s__uncultured_bacterium
91d5e9f41ca5e746b2b676f0ed1e0f06	d__Bacteria	 p__Cyanobacteria	 c__Cyanobacteriia	 o__Phormidesmiales	 f__Phormidesmiaceae	 g__Phormidesmis_ANT.LACV5.1	
1257ec71d0884e574e0bad9980a5feb1	Unassigned						
0a64ffc550e5ef17c1a2e4a8bbbd82ce	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhodobacterales	 f__Rhodobacteraceae	 g__Halocynthiibacter	 s__Halocynthiibacter_arcticus
6484e1760e055f81248f33b7e021114a	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Caldilineales	 f__Caldilineaceae	 g__uncultured	 s__uncultured_bacterium
d95941b504e328787a10658ec0ca2314	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Gammaproteobacteria_Incertae_Sedis	 f__Unknown_Family	 g__uncultured	 s__uncultured_marine
b47fb15917f2d4810bca7d6dfd1c0df9	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales	 f__Prolixibacteraceae	 g__Draconibacterium	
1f71e71fa8ff0ec22cdd56cad1d0112f	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Alteromonadales	 f__Alteromonadaceae		
d10f1f3d6395bcc5935445eb0392b04b	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhodobacterales	 f__Rhodobacteraceae		
210e50295b8dc97cd03365b4e4c7e67f	d__Bacteria	 p__Actinobacteriota	 c__Acidimicrobiia	 o__Microtrichales	 f__Microtrichaceae	 g__uncultured	 s__uncultured_Acidimicrobiales
3e71c610042ad3eed4e4c3ed3fd9e3c0	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Rhizobiales_Incertae_Sedis	 g__Anderseniella	
520374eff690e37de569ad9b81bf3b38	d__Bacteria	 p__Bdellovibrionota	 c__Bdellovibrionia	 o__Bacteriovoracales	 f__Bacteriovoracaceae		
e76dd6bef2d6b27127ae7221592e4b8a	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Chromatiales	 f__Sedimenticolaceae	 g__uncultured	 s__uncultured_bacterium
8cee28251919ded294bbf46cc73f5076	d__Bacteria	 p__Actinobacteriota	 c__Thermoleophilia	 o__Solirubrobacterales	 f__Solirubrobacteraceae	 g__Conexibacter	
b68bd45b479dc5eefd4762cf03556be3	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Micavibrionales	 f__Micavibrionaceae	 g__uncultured	 s__uncultured_bacterium
cb60ddd7c1d313114251341e9cc483df	d__Bacteria	 p__Desulfobacterota	 c__Desulfobulbia	 o__Desulfobulbales	 f__Desulfocapsaceae		
bf79d5c80e460aa9a1a8b657e4939755	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Sphingomonadales	 f__Sphingomonadaceae		
7ead35026b47af6fd1a9c96b25fa30f3	d__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Verrucomicrobiales	 f__Rubritaleaceae	 g__Roseibacillus	 s__uncultured_Roseibacillus
5be9cf8c5094ae0eff91bc173cf92b7b	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__uncultured	 g__uncultured	 s__uncultured_Bacteroidetes
9ce8e5fd661e491519d200e1aba08e86	d__Bacteria	 p__Cyanobacteria	 c__Cyanobacteriia	 o__Cyanobacteriales	 f__Xenococcaceae	 g__Pleurocapsa_PCC-7319	 s__Pleurocapsa_minor
c67f68d79e847af3e4b242892ea02c15	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Saprospiraceae	 g__uncultured	
c7a003e8ad8bf57abe58f2ee9a085f04	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Planctomycetales	 f__Gimesiaceae	 g__uncultured	 s__uncultured_bacterium
b8f456837c8d679bc70f6807297af5c7	d__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Anaerolineales	 f__Anaerolineaceae	 g__Thermomarinilinea	 s__uncultured_bacterium
bdd2ac2aa4084e52ffbc32a992eb1051	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Caulobacterales	 f__Hyphomonadaceae		
7ba43c124f4d3a35d4e1d6eb4bde74ea	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhodobacterales	 f__Rhodobacteraceae	 g__Octadecabacter	 s__Octadecabacter_temperatus
bb542dc154728a1b151a82bb7ecd530c	d__Bacteria	 p__Desulfobacterota	 c__Desulfuromonadia	 o__Desulfuromonadia	 f__Desulfuromonadaceae		
d4124f737fc281bd1d826d81bece793e	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Arenicellales	 f__Arenicellaceae	 g__Arenicella	 s__uncultured_bacterium
013e6d0225a7cbda8d63bac812a4ce39	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Cryomorphaceae	 g__uncultured	
fc140a6478b7f87472cd95655647be4c	d__Bacteria	 p__Verrucomicrobiota	 c__Kiritimatiellae	 o__Kiritimatiellales	 f__Kiritimatiellaceae	 g__uncultured	 s__uncultured_bacterium
e3d2ce63c7288110e12d40c303365cba	d__Archaea	 p__Nanoarchaeota	 c__Nanoarchaeia	 o__Woesearchaeales	 f__Woesearchaeales	 g__Woesearchaeales	
962c60591910cfa32d441b6b2d2fc2c4	d__Bacteria	 p__Latescibacterota	 c__Latescibacterota	 o__Latescibacterota	 f__Latescibacterota	 g__Latescibacterota	 s__uncultured_bacterium
cf2867bfbc9cce04b95922916cf07242	d__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Peptostreptococcales-Tissierellales	 f__Peptostreptococcales-Tissierellales	 g__Anaerococcus	 s__Anaerococcus_octavius
24189107b9c1047204f45207c795cc40	d__Bacteria	 p__Gemmatimonadota	 c__BD2-11_terrestrial_group	 o__BD2-11_terrestrial_group	 f__BD2-11_terrestrial_group	 g__BD2-11_terrestrial_group	 s__uncultured_bacterium
