ASV	Domain	Phylum	Class	Order	Family	Genus	Species	
8c00a7a5030b60a4133f36766f6da0f4	d__Bacteria	 p__WPS-2	 c__WPS-2	 o__WPS-2	 f__WPS-2	 g__WPS-2	 s__uncultured_bacterium
2a89486a019be13f69e76487b0202c8a	d__Bacteria	 p__Cyanobacteria	 c__Cyanobacteriia	 o__Phormidesmiales	 f__Phormidesmiaceae	 g__Phormidesmis_ANT.LACV5.1	 s__uncultured_bacterium
83a2c141c6662c7b18d7eba8617d7a4d	d__Bacteria	 p__Planctomycetota	 c__OM190	 o__OM190	 f__OM190	 g__OM190	 s__uncultured_planctomycete
7c6a8ecf9c850243dc4ea9ac9c337db6	d__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Peptostreptococcales-Tissierellales	 f__Fusibacteraceae	 g__Fusibacter	 s__uncultured_bacterium
74b96b87b5e96977d227b2fd67dde932	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Saprospiraceae	 g__Portibacter	 s__uncultured_bacterium
9e0e8c2cb1952d6d853b0fc6b71826ab	d__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Verrucomicrobiales	 f__Rubritaleaceae	 g__Rubritalea	 s__uncultured_bacterium
ee4e1d4e5f92131430c176932e698cfa	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Saprospiraceae	 g__Portibacter	
3ebd8d81ae1c0a8db5c4c26dbd85f25e	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Flavobacteriaceae	 g__Wenyingzhuangia	
2262337e4a76516f18aa98911c78e4d7	d__Bacteria	 p__Planctomycetota	 c__Phycisphaerae	 o__Phycisphaerales	 f__Phycisphaeraceae	 g__Phycisphaera	 s__Phycisphaera_mikurensis
156689684a67621c6bfa03166a99fe8c	d__Bacteria						
676ad8c1a5796b9d648a86c80f64e019	d__Bacteria	 p__Actinobacteriota	 c__Thermoleophilia	 o__Gaiellales	 f__Gaiellaceae	 g__Gaiella	
70148cde9b4f21d4fb4330ecf32e17b2	d__Bacteria	 p__Latescibacterota	 c__Latescibacterota	 o__Latescibacterota	 f__Latescibacterota	 g__Latescibacterota	 s__unidentified_bacterium
2be349aca2429a33dc8b4b096b95060c	d__Bacteria	 p__Planctomycetota	 c__Phycisphaerae	 o__Phycisphaerales	 f__Phycisphaeraceae	 g__Phycisphaera	 s__uncultured_bacterium
df18ec0991ae891b6bab1db6ae282886	d__Bacteria	 p__Planctomycetota	 c__vadinHA49	 o__vadinHA49	 f__vadinHA49	 g__vadinHA49	 s__uncultured_Planctomycetales
c43873b86b173fe388d9b8c1f8426fad	d__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Verrucomicrobiales	 f__Rubritaleaceae	 g__Roseibacillus	 s__uncultured_Roseibacillus
8da8dc93c1c73665cd1a8e27a7963581	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Stappiaceae		
bd10b3abde5086b1d61a6c2733ab9d2a	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Beijerinckiaceae		
9f84afec0455f95e0df4043186f7e5da	d__Bacteria	 p__Planctomycetota	 c__OM190	 o__OM190	 f__OM190	 g__OM190	 s__marine_metagenome
5d04bbdd4f837ca4c2738e83b53d0cdb	d__Bacteria	 p__WPS-2	 c__WPS-2	 o__WPS-2	 f__WPS-2	 g__WPS-2	 s__hydrothermal_vent
2925176e669f00719f491a6e1af00b1d	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Flavobacteriaceae	 g__Aureisphaera	 s__uncultured_Bacteroidetes
d9cde53249ac2743c89cc58f7467d9b8	d__Bacteria	 p__Patescibacteria	 c__Parcubacteria				
928e490cd00f81ac136531be5e99fc4b	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Granulosicoccales	 f__Granulosicoccaceae	 g__Granulosicoccus	
84337328c7ac07d505e45383a016af4b	d__Bacteria	 p__Patescibacteria	 c__ABY1	 o__Candidatus_Komeilibacteria	 f__Candidatus_Komeilibacteria	 g__Candidatus_Komeilibacteria	 s__uncultured_bacterium
d04f8c8468d2479666e3847be1810294	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Xanthomonadales	 f__Rhodanobacteraceae	 g__Tahibacter	
