ASV	L1_L_fab_gut2	L1_L_nod_BF2	L1_L_obt_gut1	L1_L_obt_gut2	L1_L_obt_gut3	L1_L_obt_gut5	L1_L_obt_gut6	L1_L_obt_gut7	L1_L_obt_gut8	L1_L_ser_BF1	L1_L_ser_BF2	L1_L_stones_BF1	L1_L_ves_BF1	L1_L_ves_BF2	L1_L_ves_BF3	L1_U_obt_gut1	L1_U_obt_gut2	L1_U_obt_gut3	L1_U_obt_gut7	L11_L_fab_gut2	L11_L_fab_gut3	L11_L_fab_gut4	L11_L_fab_gut5	L11_L_fab_gut6	L11_L_fab_gut7	L11_L_fab_gut8	L11_L_fab_tent1	L11_L_fab_tent2	L11_L_fill_BF1	L11_L_fill_BF2	L11_L_fill_BF3	L11_L_nod_BF2	L11_L_nod_BF3	L11_L_obt_gut3	L11_L_obt_gut4	L11_L_obt_gut5	L11_L_obt_gut6	L11_L_obt_gut7	L11_L_obt_gut8	L11_L_obt_tent1	L11_L_obt_tent2	L11_L_stones_BF1	L11_L_stones_BF2	L11_L_stones_BF3	L11_U_fill_BF1	L11_U_nod_BF2	L11_U_obt_gut1	L11_U_obt_gut2	L11_U_obt_gut3	L11_U_obt_gut4	L11_U_obt_gut5	L11_U_obt_gut8	L11_U_obt_tent2	L11_U_stones_BF1	L11_U_stones_BF3	L5_L_fab_gut1	L5_L_fab_gut3	L5_L_fab_gut5	L5_L_fab_gut6	L5_L_fab_gut7	L5_L_fab_gut8	L5_L_nod_BF2	L5_L_obt_gut1	L5_L_obt_gut3	L5_L_obt_gut4	L5_L_obt_gut7	L5_L_obt_gut8	L5_L_stones_BF2	L5_L_ves_BF3	L5_U_fill_BF1	L5_U_fill_BF2	L5_U_nod_BF1	L5_U_nod_BF3	L5_U_obt_gut1	L5_U_obt_gut2	L5_U_obt_gut4	L5_U_obt_gut5	L5_U_obt_gut6	L5_U_obt_gut8	L5_U_obt_tent2	
f229f1299e90633890ef0a26b9889ff6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3fbc9b94a533e05133d788e8a885a562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b93954edcb360b54077240af2d818c0a	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bf04b2af4a88f4a6ddf90b7f37924ecb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8d813d62a27364f5a3ed2aec2c39e3f9	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0
685365655317c71977d2e590c7f76ae0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4db3838a05223f263b05055a40fc414b	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f555323bd26ef311e22611c99086b548	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7df080126e22d56b9f419b5b69642ecc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a936cdf870339e341c193736078a2e66	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c12df5e97e6d2458121fec3a4ea4022a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f02514df8ce9ed31a57c516b6cefdd01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a526438ba1824441c35b2bf036102507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
901461c995bb9b83f434ace8d7384b75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8d1eda7ed67f324aa58179e6019925d8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0
72be6ffa1b0347866d8cd9dae427d6d4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
